3131,1522,1726,1023,2092,1011,1787,2820,4045,2209,608,1573,1308,1278,1782,459,2412,1944,2118,1415,2949,648
3771,1771,1778,1189,2048,1061,1879,2721,3337,2185,2992,1775,1596,1374,1766,395,2545,2104,2185,1467,3029,918
4170,1563,1715,1276,2008,1293,1886,2832,2938,2414,3151,1836,1494,1492,2041,498,2673,2305,2255,1651,3478,1227
4955,1596,1804,1476,2101,1484,2081,3006,3389,2821,3288,2062,1627,1553,2271,519,2890,2486,2476,2027,3816,1616
5094,1595,1975,1939,2284,1537,2342,3524,4394,3354,3134,2288,2072,1694,2548,883,3213,3166,2705,2778,4723,2048
5747,1682,2045,1723,2476,1452,2706,4343,5704,4438,4854,2430,2327,1839,2758,910,3458,3220,2663,3041,5491,2426
6102,1906,1970,1817,2854,1966,3102,4602,11858,4659,4822,2601,2201,2338,2897,779,3635,3220,2835,2693,6085,1771
6395,1818,2112,2167,3051,2124,3540,5543,14306,5034,4846,2571,2697,2437,3276,1017,3912,3757,3248,3226,7949,1945
6724,1967,2551,2610,3644,2128,4194,6210,19740,6548,6695,3134,2815,2540,3871,1173,4762,4837,3818,4098,8721,2756
