2077,807,1666,947,2020,964,1677,2666,3925,2120,567,1529,1243,1192,1715,400,2339,1901,2076,1371,2750,605
2613,749,1675,1086,1837,1026,1636,2581,3083,2080,2867,1602,1476,1226,1686,373,2390,1920,2043,1377,2769,884
2722,740,1499,1203,1907,1125,1784,2728,2697,2239,3045,1769,1406,1434,1888,441,2591,2112,2203,1616,3209,1145
2863,865,1617,1388,1979,1329,1939,2883,3240,2671,3088,1837,1558,1521,2184,500,2755,2364,2316,1923,3615,1524
2966,884,1729,1681,2238,1441,2174,3329,4195,3163,2989,1812,1838,1556,2393,722,3036,2969,2399,2553,4494,1824
3084,1011,1877,1650,2323,1437,2489,3973,5385,3876,3189,2276,2003,1801,2619,668,3381,3045,2559,2645,5119,2267
3092,1055,1899,1615,2523,1560,2843,4077,11313,4116,3144,1934,1808,1741,2737,662,3192,2898,2606,2397,5843,1630
3399,1110,2054,1988,2858,1730,3371,5128,13893,4485,3121,2401,2133,2032,3098,779,3727,3607,3018,3001,6867,1848
3939,1307,2449,2410,3424,2083,4001,6109,19202,6069,5292,2867,2313,2449,3649,956,4447,4560,3442,3467,8413,2197
