Num Workers, CudfExchange(sec), HttpExchange(sec)
8  5.4 73.3
7  6.2  78.3
6  6.2  82.3
5  6.2  85.2
4  8.1  94.9
3 12.6  146.5
2 22.1  237.7
1 67.2  520.0
