queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,3300,2025-09-08T06:58:32.497Z,20250908_065831_00000_c55aq,3.30s,FINISHED
Q10,sf100,2550,2025-09-08T06:59:26.051Z,20250908_065925_00009_c55aq,2.55s,FINISHED
Q11,sf100,995,2025-09-08T06:59:29.717Z,20250908_065929_00010_c55aq,995.44ms,FINISHED
Q12,sf100,947,2025-09-08T06:59:31.789Z,20250908_065931_00011_c55aq,947.97ms,FINISHED
Q13,sf100,1120,2025-09-08T06:59:33.789Z,20250908_065933_00012_c55aq,1.12s,FINISHED
Q14,sf100,667,2025-09-08T06:59:36.016Z,20250908_065935_00013_c55aq,667.27ms,FINISHED
Q15,sf100,2050,2025-09-08T06:59:37.608Z,20250908_065937_00014_c55aq,2.05s,FINISHED
Q16,sf100,1210,2025-09-08T06:59:40.634Z,20250908_065940_00015_c55aq,1.21s,FINISHED
Q17,sf100,2600,2025-09-08T06:59:44.136Z,20250908_065943_00016_c55aq,2.60s,FINISHED
Q18,sf100,5600,2025-09-08T06:59:47.644Z,20250908_065947_00017_c55aq,5.60s,FINISHED
Q19,sf100,881,2025-09-08T06:59:54.165Z,20250908_065954_00018_c55aq,881.01ms,FINISHED
Q2,sf100,2430,2025-09-08T06:58:37.835Z,20250908_065837_00001_c55aq,2.43s,FINISHED
Q20,sf100,1210,2025-09-08T06:59:55.928Z,20250908_065955_00019_c55aq,1.21s,FINISHED
Q21,sf100,5270,2025-09-08T06:59:58.152Z,20250908_065958_00020_c55aq,5.27s,FINISHED
Q22,sf100,516,2025-09-08T07:00:04.268Z,20250908_070004_00021_c55aq,516.39ms,FINISHED
Q3,sf100,1790,2025-09-08T06:58:41.197Z,20250908_065841_00002_c55aq,1.79s,FINISHED
Q4,sf100,781,2025-09-08T06:58:44.033Z,20250908_065843_00003_c55aq,781.99ms,FINISHED
Q5,sf100,3930,2025-09-08T06:58:45.777Z,20250908_065845_00004_c55aq,3.93s,FINISHED
Q6,sf100,560,2025-09-08T06:58:50.558Z,20250908_065850_00005_c55aq,560.49ms,FINISHED
Q7,sf100,1700,2025-09-08T06:58:51.945Z,20250908_065851_00006_c55aq,1.70s,FINISHED
Q8,sf100,10590,2025-09-08T06:58:54.469Z,20250908_065854_00007_c55aq,10.59s,FINISHED
Q9,sf100,16090,2025-09-08T06:59:08.584Z,20250908_065908_00008_c55aq,16.09s,FINISHED
