queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,1800,2025-09-05T15:51:18.657Z,20250905_155118_00000_v9apt,1.80s,FINISHED
Q10,sf100,4970,2025-09-05T15:52:32.272Z,20250905_155232_00009_v9apt,4.97s,FINISHED
Q11,sf100,1330,2025-09-05T15:52:38.057Z,20250905_155237_00010_v9apt,1.33s,FINISHED
Q12,sf100,1700,2025-09-05T15:52:40.207Z,20250905_155240_00011_v9apt,1.70s,FINISHED
Q13,sf100,1420,2025-09-05T15:52:42.740Z,20250905_155242_00012_v9apt,1.42s,FINISHED
Q14,sf100,742,2025-09-05T15:52:44.997Z,20250905_155244_00013_v9apt,742.37ms,FINISHED
Q15,sf100,5260,2025-09-05T15:52:46.545Z,20250905_155246_00014_v9apt,5.26s,FINISHED
Q16,sf100,1890,2025-09-05T15:52:52.624Z,20250905_155252_00015_v9apt,1.89s,FINISHED
Q17,sf100,5610,2025-09-05T15:52:56.383Z,20250905_155256_00016_v9apt,5.61s,FINISHED
Q18,sf100,22270,2025-09-05T15:53:02.812Z,20250905_155302_00017_v9apt,22.27s,FINISHED
Q19,sf100,1250,2025-09-05T15:53:25.883Z,20250905_155325_00018_v9apt,1.25s,FINISHED
Q2,sf100,3920,2025-09-05T15:51:21.327Z,20250905_155121_00001_v9apt,3.92s,FINISHED
Q20,sf100,1830,2025-09-05T15:53:27.947Z,20250905_155327_00019_v9apt,1.83s,FINISHED
Q21,sf100,14240,2025-09-05T15:53:30.732Z,20250905_155330_00020_v9apt,14.24s,FINISHED
Q22,sf100,605,2025-09-05T15:53:45.782Z,20250905_155345_00021_v9apt,605.17ms,FINISHED
Q3,sf100,3250,2025-09-05T15:51:26.107Z,20250905_155125_00002_v9apt,3.25s,FINISHED
Q4,sf100,838,2025-09-05T15:51:30.201Z,20250905_155130_00003_v9apt,838.03ms,FINISHED
Q5,sf100,7160,2025-09-05T15:51:31.913Z,20250905_155131_00004_v9apt,7.16s,FINISHED
Q6,sf100,564,2025-09-05T15:51:39.891Z,20250905_155139_00005_v9apt,564.42ms,FINISHED
Q7,sf100,3760,2025-09-05T15:51:41.306Z,20250905_155141_00006_v9apt,3.76s,FINISHED
Q8,sf100,17000,2025-09-05T15:51:45.921Z,20250905_155145_00007_v9apt,17.00s,FINISHED
Q9,sf100,27700,2025-09-05T15:52:03.753Z,20250905_155203_00008_v9apt,27.70s,FINISHED
